PROGRAM, program
id, condicion
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
VAR, var
id, x
coma, COMA
coma, COMA
id, y
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
VAR, var
id, a
dos_puntos, DOS_PUNTOS
BOOLEAN, boolean
BEGIN, begin
id, a
ASIGNAR, :=
id, true
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
id, x
ASIGNAR, :=
num, 10
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
id, y
ASIGNAR, :=
num, 20
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
IF, if
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
ELSE, else
END, end
punto, PUNTO
punto, PUNTO
