PROGRAM, program
id, relacionales
punto_coma, PUNTO_COMA
BEGIN, begin
IF, if
id, a
op_relacional, LT
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
IF, if
id, a
op_relacional, LE
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
IF, if
id, a
op_relacional, NE
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
IF, if
id, a
op_relacional, GT
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
IF, if
id, a
op_relacional, GE
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
IF, if
id, a
op_relacional, EQ
id, b
THEN, then
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DER
punto_coma, PUNTO_COMA
END, end
punto, PUNTO
