PROGRAM, program
id, ids
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
VAR, var
id, resultado
coma, COMA
coma, COMA
id, acc
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
VAR, var
id, cond
dos_puntos, DOS_PUNTOS
BOOLEAN, boolean
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
BEGIN, begin
id, cond
ASIGNAR, :=
id, true
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
id, acc
ASIGNAR, :=
num, 0
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
WHILE, while
paren_iz, PAREN_IZ
id, cond
paren_der, PAREN_DER
id, resultado
ASIGNAR, :=
id, acc
punto_coma, PUNTO_COMA
punto_coma, PUNTO_COMA
END, end
punto, PUNTO
punto, PUNTO
