**** TOKENS PROCESADOS ****
PROGRAM, program
id, alternativa
punto_coma, PUNTO_COMA
VAR, var
id, x
coma, COMA
id, y
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
id, a
dos_puntos, DOS_PUNTOS
BOOLEAN, boolean
punto_coma, PUNTO_COMA
BEGIN, begin
id, a
ASIGNAR, :=
id, true
punto_coma, PUNTO_COMA
id, x
ASIGNAR, :=
num, 10
punto_coma, PUNTO_COMA
id, y
ASIGNAR, :=
num, 20
punto_coma, PUNTO_COMA
IF, if
id, a
THEN, then
BEGIN, begin
IF, if
id, x
op_relacional, GE
id, y
THEN, then
BEGIN, begin
id, x
ASIGNAR, :=
id, x
op_aritmetico, RESTA
id, y
END, end
ELSE, else
BEGIN, begin
id, y
ASIGNAR, :=
id, x
op_aritmetico, SUMA
id, y
END, end
punto_coma, PUNTO_COMA
WRITE, write
paren_iz, PAREN_IZ
id, x
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
WRITE, write
paren_iz, PAREN_IZ
id, y
paren_der, PAREN_DR
END, end
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
