**** TOKENS PROCESADOS ****
PROGRAM, program
id, combinado
punto_coma, PUNTO_COMA
VAR, var
id, x
coma, COMA
id, i
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
BEGIN, begin
id, x
ASIGNAR, :=
num, 0
punto_coma, PUNTO_COMA
id, i
ASIGNAR, :=
num, 0
punto_coma, PUNTO_COMA
WHILE, while
id, i
op_relacional, LT
num, 5
DO, do
BEGIN, begin
IF, if
id, i
op_aritmetico, DIV
num, 2
op_relacional, EQ
num, 3
THEN, then
BEGIN, begin
id, x
ASIGNAR, :=
id, x
op_aritmetico, SUMA
id, i
punto_coma, PUNTO_COMA
END, end
ELSE, else
BEGIN, begin
id, x
ASIGNAR, :=
id, x
op_aritmetico, RESTA
id, i
punto_coma, PUNTO_COMA
END, end
punto_coma, PUNTO_COMA
id, i
ASIGNAR, :=
id, i
op_aritmetico, SUMA
num, 1
punto_coma, PUNTO_COMA
END, end
punto_coma, PUNTO_COMA
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
