**** TOKENS PROCESADOS ****
PROGRAM, program
id, completo
punto_coma, PUNTO_COMA
VAR, var
id, x
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
PROCEDURE, procedure
id, inc
paren_iz, PAREN_IZ
id, a
dos_puntos, DOS_PUNTOS
INTEGER, integer
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
BEGIN, begin
END, end
punto_coma, PUNTO_COMA
FUNCTION, function
id, doble
paren_iz, PAREN_IZ
id, n
dos_puntos, DOS_PUNTOS
INTEGER, integer
paren_der, PAREN_DR
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
BEGIN, begin
END, end
punto_coma, PUNTO_COMA
BEGIN, begin
id, x
ASIGNAR, :=
id, doble
paren_iz, PAREN_IZ
num, 5
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
id, inc
paren_iz, PAREN_IZ
id, x
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
id, doble
paren_iz, PAREN_IZ
paren_iz, PAREN_IZ
num, 8
op_aritmetico, SUMA
num, 1
paren_der, PAREN_DR
op_aritmetico, DIV
num, 6
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
