**** TOKENS PROCESADOS ****
PROGRAM, program
id, compuesto
punto_coma, PUNTO_COMA
VAR, var
id, x
coma, COMA
id, y
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
id, ok
dos_puntos, DOS_PUNTOS
BOOLEAN, boolean
punto_coma, PUNTO_COMA
BEGIN, begin
id, x
ASIGNAR, :=
num, 100
punto_coma, PUNTO_COMA
id, y
ASIGNAR, :=
id, x
op_aritmetico, DIV
num, 2
op_aritmetico, RESTA
num, 5
punto_coma, PUNTO_COMA
WHILE, while
paren_iz, PAREN_IZ
id, x
op_relacional, GT
num, 0
paren_der, PAREN_DR
AND, and
paren_iz, PAREN_IZ
id, ok
op_relacional, EQ
id, true
paren_der, PAREN_DR
DO, do
BEGIN, begin
id, x
ASIGNAR, :=
id, x
op_aritmetico, RESTA
num, 1
punto_coma, PUNTO_COMA
id, ok
ASIGNAR, :=
paren_iz, PAREN_IZ
id, x
op_aritmetico, MUL
id, y
op_relacional, NE
num, 0
paren_der, PAREN_DR
OR, or
paren_iz, PAREN_IZ
id, x
op_relacional, LE
id, y
paren_der, PAREN_DR
END, end
punto_coma, PUNTO_COMA
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
