**** TOKENS PROCESADOS ****
PROGRAM, program
id, if_else_anidados
punto_coma, PUNTO_COMA
VAR, var
id, x
coma, COMA
id, y
coma, COMA
id, z
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
BEGIN, begin
id, x
ASIGNAR, :=
num, 5
punto_coma, PUNTO_COMA
id, y
ASIGNAR, :=
num, 10
punto_coma, PUNTO_COMA
id, z
ASIGNAR, :=
num, 0
punto_coma, PUNTO_COMA
IF, if
id, x
op_relacional, GT
num, 0
THEN, then
IF, if
id, y
op_relacional, GT
num, 0
THEN, then
IF, if
id, z
op_relacional, EQ
num, 0
THEN, then
id, x
ASIGNAR, :=
num, 1
ELSE, else
id, x
ASIGNAR, :=
num, 2
ELSE, else
id, x
ASIGNAR, :=
num, 3
ELSE, else
id, x
ASIGNAR, :=
num, 4
punto_coma, PUNTO_COMA
IF, if
id, x
op_relacional, GT
num, 0
THEN, then
IF, if
id, y
op_relacional, GT
num, 5
THEN, then
id, y
ASIGNAR, :=
id, y
op_aritmetico, SUMA
num, 1
ELSE, else
id, y
ASIGNAR, :=
id, y
op_aritmetico, RESTA
num, 1
ELSE, else
id, z
ASIGNAR, :=
id, z
op_aritmetico, SUMA
num, 1
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
