**** TOKENS PROCESADOS ****
PROGRAM, program
id, junto
punto_coma, PUNTO_COMA
VAR, var
id, a
coma, COMA
id, b
coma, COMA
id, c
dos_puntos, DOS_PUNTOS
INTEGER, integer
punto_coma, PUNTO_COMA
id, flag
dos_puntos, DOS_PUNTOS
BOOLEAN, boolean
punto_coma, PUNTO_COMA
BEGIN, begin
READ, read
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
id, b
ASIGNAR, :=
num, 10
punto_coma, PUNTO_COMA
id, c
ASIGNAR, :=
id, b
op_aritmetico, MUL
num, 2
op_aritmetico, SUMA
id, a
punto_coma, PUNTO_COMA
id, flag
ASIGNAR, :=
paren_iz, PAREN_IZ
id, a
op_aritmetico, SUMA
id, b
op_aritmetico, MUL
num, 3
op_relacional, GT
num, 10
paren_der, PAREN_DR
AND, and
paren_iz, PAREN_IZ
id, c
op_aritmetico, RESTA
num, 2
op_relacional, LE
num, 5
paren_der, PAREN_DR
OR, or
NOT, not
paren_iz, PAREN_IZ
id, a
op_relacional, EQ
id, b
paren_der, PAREN_DR
punto_coma, PUNTO_COMA
IF, if
id, flag
THEN, then
BEGIN, begin
WRITE, write
paren_iz, PAREN_IZ
id, a
paren_der, PAREN_DR
END, end
ELSE, else
BEGIN, begin
WRITE, write
paren_iz, PAREN_IZ
id, b
paren_der, PAREN_DR
END, end
punto_coma, PUNTO_COMA
END, end
punto, PUNTO

>> Análisis sintáctico completado con éxito.
